datetime,date,hour,frequency_demand,frequency_price
2025-07-04 14:00:00,2025-07-04,14,803.7999999999998,3.863333333333333
2025-07-04 15:00:00,2025-07-04,15,800.0,0.4066666666666667
2025-07-04 16:00:00,2025-07-04,16,800.0,0.7516666666666666
2025-07-04 17:00:00,2025-07-04,17,799.4000000000001,0.4624999999999999
2025-07-04 18:00:00,2025-07-04,18,522.25,0.5625
2025-07-04 19:00:00,2025-07-04,19,525.0,0.4658333333333333
2025-07-04 20:00:00,2025-07-04,20,525.8,0.2775
2025-07-04 21:00:00,2025-07-04,21,525.0,0.0
2025-07-04 22:00:00,2025-07-04,22,795.3083333333334,0.8283333333333333
2025-07-04 23:00:00,2025-07-04,23,801.3833333333333,0.0
2025-07-05 00:00:00,2025-07-05,0,798.0,0.0974999999999999
2025-07-05 01:00:00,2025-07-05,1,800.0,0.0
2025-07-05 02:00:00,2025-07-05,2,800.0,0.1016666666666666
2025-07-05 03:00:00,2025-07-05,3,800.0,4.4775
2025-07-05 04:00:00,2025-07-05,4,523.1,3.424166666666667
2025-07-05 05:00:00,2025-07-05,5,525.0,0.3408333333333333
2025-07-05 06:00:00,2025-07-05,6,525.3,0.0
2025-07-05 07:00:00,2025-07-05,7,525.1,0.9808333333333332
2025-07-05 08:00:00,2025-07-05,8,525.0,0.7458333333333332
2025-07-05 09:00:00,2025-07-05,9,799.4000000000001,0.3841666666666667
2025-07-05 10:00:00,2025-07-05,10,799.2000000000002,0.2058333333333333
2025-07-05 11:00:00,2025-07-05,11,800.0,0.555
2025-07-05 12:00:00,2025-07-05,12,800.0,0.6916666666666668
2025-07-05 13:00:00,2025-07-05,13,799.0916666666667,4.6075
2025-07-05 14:00:00,2025-07-05,14,793.9499999999999,0.5316666666666666
2025-07-05 15:00:00,2025-07-05,15,800.0,0.7358333333333333
2025-07-05 16:00:00,2025-07-05,16,784.6999999999999,0.7033333333333333
2025-07-05 17:00:00,2025-07-05,17,811.725,0.4441666666666666
2025-07-05 18:00:00,2025-07-05,18,549.8,2.9466666666666668
2025-07-05 19:00:00,2025-07-05,19,508.99166666666673,1.9258333333333333
2025-07-05 20:00:00,2025-07-05,20,525.0,0.8458333333333333
2025-07-05 21:00:00,2025-07-05,21,524.975,0.545
2025-07-05 22:00:00,2025-07-05,22,798.7000000000002,0.0
2025-07-05 23:00:00,2025-07-05,23,800.0,0.0
2025-07-06 00:00:00,2025-07-06,0,778.8333333333334,0.0
2025-07-06 01:00:00,2025-07-06,1,800.0,0.0
2025-07-06 02:00:00,2025-07-06,2,800.0,1.9141666666666663
2025-07-06 03:00:00,2025-07-06,3,778.3333333333334,2.6358333333333333
2025-07-06 04:00:00,2025-07-06,4,513.8,2.2583333333333333
2025-07-06 05:00:00,2025-07-06,5,525.0,1.9591666666666667
2025-07-06 06:00:00,2025-07-06,6,525.1,0.4624999999999999
